Epoch 111/200,Train_Loss: 0.2090,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9661, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 112/200,Train_Loss: 0.2299,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9670, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 113/200,Train_Loss: 0.1590,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9843, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 114/200,Train_Loss: 0.2310,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9877, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 115/200,Train_Loss: 0.1739,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9887, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 116/200,Train_Loss: 0.2226,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9749, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 117/200,Train_Loss: 0.2104,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9720, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 118/200,Train_Loss: 0.2317,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9656, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 119/200,Train_Loss: 0.1371,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9916, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 120/200,Train_Loss: 0.2872,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9685, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 121/200,Train_Loss: 0.1840,Train_Accuracy: 0.9524,train_F1: 0.9524,train_AUC: 0.9862, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 122/200,Train_Loss: 0.1588,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9907, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 123/200,Train_Loss: 0.2066,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9666, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 124/200,Train_Loss: 0.2228,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9582, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 125/200,Train_Loss: 0.3148,Train_Accuracy: 0.9603,train_F1: 0.9603,train_AUC: 0.9784, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 126/200,Train_Loss: 0.2451,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9439, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 127/200,Train_Loss: 0.1711,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9961, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 128/200,Train_Loss: 0.3709,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9115, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 129/200,Train_Loss: 0.1320,Train_Accuracy: 0.9524,train_F1: 0.9524,train_AUC: 0.9931, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 130/200,Train_Loss: 0.1255,Train_Accuracy: 0.9524,train_F1: 0.9524,train_AUC: 0.9951, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 131/200,Train_Loss: 0.1369,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9966, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 132/200,Train_Loss: 0.1383,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9916, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 133/200,Train_Loss: 0.2242,Train_Accuracy: 0.9603,train_F1: 0.9603,train_AUC: 0.9970, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 134/200,Train_Loss: 0.1681,Train_Accuracy: 0.9365,train_F1: 0.9365,train_AUC: 0.9916, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 135/200,Train_Loss: 0.1082,Train_Accuracy: 0.9444,train_F1: 0.9444,train_AUC: 0.9980, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 136/200,Train_Loss: 0.1953,Train_Accuracy: 0.9206,train_F1: 0.9206,train_AUC: 0.9774, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 137/200,Train_Loss: 0.1481,Train_Accuracy: 0.9286,train_F1: 0.9286,train_AUC: 0.9936, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 138/200,Train_Loss: 0.1294,Train_Accuracy: 0.9603,train_F1: 0.9603,train_AUC: 0.9882, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 139/200,Train_Loss: 0.2717,Train_Accuracy: 0.9683,train_F1: 0.9683,train_AUC: 0.9838, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
