Epoch 108/500, Train_Loss: 0.0033, Train_Accuracy: 0.8151, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7778
Epoch 109/500, Train_Loss: 0.0033, Train_Accuracy: 0.8425, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8148
Epoch 110/500, Train_Loss: 0.0032, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7778
Epoch 111/500, Train_Loss: 0.0031, Train_Accuracy: 0.8562, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8519
Epoch 112/500, Train_Loss: 0.0033, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8519
Epoch 113/500, Train_Loss: 0.0032, Train_Accuracy: 0.8836, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.8519
Epoch 114/500, Train_Loss: 0.0036, Train_Accuracy: 0.8219, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7037
Epoch 115/500, Train_Loss: 0.0037, Train_Accuracy: 0.5822, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.6296
Epoch 116/500, Train_Loss: 0.0034, Train_Accuracy: 0.7192, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7037
Epoch 117/500, Train_Loss: 0.0036, Train_Accuracy: 0.7808, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.5000,Test_Accuracy: 0.7407
